 EpsilonGreedy Cumulative Reward: 418.0
EpsilonGreedy Total Regret: 31.999999999999467
UCB Cumulative Reward: 369.0
UCB Total Regret: 81.00000000000044
ThompsonSampling Cumulative Reward: 423.0
ThompsonSampling Total Regret: 26.999999999999346
EpsilonGreedy Cumulative Reward: 437.0
EpsilonGreedy Total Regret: 13.000000000000153
UCB Cumulative Reward: 381.0
UCB Total Regret: 68.99999999999997
ThompsonSampling Cumulative Reward: 445.0
ThompsonSampling Total Regret: 5.000000000000149
gaussian | LLMAgent | Run 2 | Cumulative Reward: 17.650260711492606 | Total Regret: 22.34973928850739
gaussian | LLMAgent | Run 3 | Cumulative Reward: 24.057327216802477 | Total Regret: 15.94267278319752
gaussian | LLMAgent | Run 4 | Cumulative Reward: 17.038215233722664 | Total Regret: 22.961784766277336
bernoulli | EpsilonGreedy | Run 0 | Cumulative Reward: 11.0 | Total Regret: 79.00000000000004
bernoulli | KL-UCB | Run 0 | Cumulative Reward: 81.0 | Total Regret: 9.000000000000002
bernoulli | ThompsonSampling | Run 0 | Cumulative Reward: 75.0 | Total Regret: 15.0
bernoulli | EpsilonGreedy | Run 0 | Cumulative Reward: 35.0 | Total Regret: 10.0
bernoulli | EpsilonGreedy | Run 1 | Cumulative Reward: 6.0 | Total Regret: 39.0
bernoulli | KL-UCB | Run 0 | Cumulative Reward: 38.0 | Total Regret: 7.000000000000001
bernoulli | KL-UCB | Run 1 | Cumulative Reward: 41.0 | Total Regret: 4.000000000000002
bernoulli | ThompsonSampling | Run 0 | Cumulative Reward: 41.0 | Total Regret: 4.000000000000001
bernoulli | ThompsonSampling | Run 1 | Cumulative Reward: 31.0 | Total Regret: 14.0
bernoulli | LLMAgent | Run 0 | Cumulative Reward: 29.0 | Total Regret: 15.999999999999998
bernoulli | LLMAgent | Run 1 | Cumulative Reward: 29.0 | Total Regret: 15.999999999999998
gaussian | GaussianEpsilonGreedy | Run 0 | Cumulative Reward: 41.303638454381144 | Total Regret: 58.69636154561884
gaussian | GaussianEpsilonGreedy | Run 1 | Cumulative Reward: 57.94726270167213 | Total Regret: 42.05273729832787
gaussian | GaussianUCB | Run 0 | Cumulative Reward: 71.2371135707864 | Total Regret: 28.76288642921361
gaussian | GaussianUCB | Run 1 | Cumulative Reward: 84.10467192632485 | Total Regret: 15.895328073675156
gaussian | GaussianThompsonSampling | Run 0 | Cumulative Reward: 75.33683149048923 | Total Regret: 24.66316850951078
gaussian | GaussianThompsonSampling | Run 1 | Cumulative Reward: 72.22851183299971 | Total Regret: 27.771488167000303
gaussian | LLMAgent | Run 0 | Cumulative Reward: 40.65388972825488 | Total Regret: 59.34611027174513
gaussian | LLMAgent | Run 1 | Cumulative Reward: 53.37271806767195 | Total Regret: 46.627281932328046
bernoulli | EpsilonGreedy | Run 0 | Cumulative Reward: 41.0 | Total Regret: 4.000000000000002
bernoulli | EpsilonGreedy | Run 1 | Cumulative Reward: 28.0 | Total Regret: 17.0
bernoulli | KL-UCB | Run 0 | Cumulative Reward: 44.0 | Total Regret: 1.0000000000000009
bernoulli | KL-UCB | Run 1 | Cumulative Reward: 40.0 | Total Regret: 5.000000000000002
bernoulli | ThompsonSampling | Run 0 | Cumulative Reward: 38.0 | Total Regret: 7.000000000000001
bernoulli | ThompsonSampling | Run 1 | Cumulative Reward: 40.0 | Total Regret: 5.000000000000002
gaussian | GaussianEpsilonGreedy | Run 0 | Cumulative Reward: 23.30002435458769 | Total Regret: 76.6999756454123
gaussian | GaussianEpsilonGreedy | Run 1 | Cumulative Reward: 89.39727698627283 | Total Regret: 10.602723013727177
gaussian | GaussianUCB | Run 0 | Cumulative Reward: 64.10029432084998 | Total Regret: 35.89970567915002
